Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
5,A,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Male,36,Goods vehicle 3.5 tonnes mgw and under
5,A,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,27,Goods vehicle 3.5 tonnes mgw and under
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,68,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,49,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,33,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Motorcycle over 50cc and up to 125cc
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,73,Bus or coach (17 or more passenger seats)
2,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,18,Motorcycle over 125cc and up to 500cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,50,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,24,Car
2,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,41,Car
2,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,12,Car
1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,21,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,64,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,42,Car
2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,41,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,50,Car
1,A(M),Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,28,Car
1,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,45,Car
1,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,36,Car
1,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,8,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Bus or coach (17 or more passenger seats)
