Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Victim,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
5,3,1,4,1,1,1,36,6
5,3,1,4,2,1,1,27,6
1,2,2,1,3,2,1,68,4
2,1,1,1,1,1,1,49,4
2,2,1,1,1,1,1,33,4
2,2,1,1,2,1,2,28,4
2,1,1,1,1,1,1,17,2
2,2,1,1,1,1,2,18,4
2,2,1,1,2,1,1,8,4
1,2,2,2,2,1,2,73,6
2,3,1,1,1,2,1,18,2
2,1,1,1,1,1,2,50,4
2,2,1,1,1,1,1,36,2
1,1,2,1,3,2,2,24,4
2,2,2,2,1,1,2,41,4
2,3,2,1,1,1,1,36,2
1,2,2,1,3,1,1,12,4
1,2,3,1,1,1,2,21,4
2,2,2,1,1,1,1,64,4
2,2,2,1,1,1,1,42,4
2,1,2,1,2,1,2,41,4
2,2,1,1,1,1,1,50,4
1,3,1,4,1,1,2,28,4
1,2,2,1,3,2,1,45,4
1,3,1,1,3,1,2,36,4
1,3,1,1,3,1,2,8,4
2,1,1,1,2,1,2,30,6
2,1,2,1,1,1,1,39,4
2,2,3,1,1,1,1,24,4
2,2,3,1,2,1,2,20,4
2,2,2,1,1,1,1,26,4
2,2,2,1,1,1,1,45,4
2,2,2,1,2,2,2,23,4
2,1,1,1,1,1,1,60,4
2,1,1,1,1,1,1,48,4
1,2,2,1,1,2,1,67,4
1,1,1,1,3,2,2,73,6
3,1,1,1,2,1,2,79,4
1,2,2,1,3,1,2,23,4
1,2,2,1,3,1,2,31,4
2,2,1,2,1,1,1,80,4
2,1,1,1,1,2,2,46,4
2,2,1,1,1,1,2,25,4
2,2,1,1,1,1,2,43,4
2,2,1,1,2,1,2,70,4
2,2,1,1,2,1,2,63,4
1,1,1,1,3,1,1,35,4
2,2,1,1,1,1,2,33,4
2,3,1,1,2,1,2,33,4
2,3,1,1,1,1,1,28,4
3,2,1,1,2,1,2,29,4
2,1,1,1,1,1,2,63,2
1,2,1,1,3,1,1,15,4
2,2,2,1,1,3,1,47,2
2,1,2,1,2,1,1,21,4
1,2,2,1,3,1,2,19,4
1,2,1,1,1,1,1,68,2
3,1,1,1,2,1,2,72,4
2,2,1,1,3,2,1,38,4
2,2,2,1,1,2,1,27,2
1,2,3,1,1,1,2,43,4
